"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-01","54","45","53"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-02","55","44","44"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-04","40","21","21"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-05","36","21","35"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-06","35","19","21"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-07","25","15","17"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-08","22","9","9"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-09","37","9","37"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-11","29","14","14"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-12","30","14","30"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-13","45","28","33"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-14","45","31","32"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-15","36","15","15"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-16","21","13","15"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-18","27","25","25"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-19","30","23","27"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-20","49","26","26"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-21","49","5","12"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-22","20","4","4"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-23","28","4","20"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-24","32","11","11"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-25","31","11","28"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-26","28","12","12"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-27","21","-4","-4"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-28","33","-4","33"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-29","33","8","8"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-01-30","20","4","5"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-01","35","8","12"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-03","48","23","39"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-04","45","26","26"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-05","26","16","17"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-06","21","7","16"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-07","36","16","20"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-08","41","20","25"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-09","50","25","27"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-10","54","27","28"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-11","44","20","22"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-12","58","22","38"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-13","39","24","24"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-14","28","15","15"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-15","23","9","9"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-16","35","9","22"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-17","61","22","53"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-18","61","24","29"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-19","29","21","26"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-20","31","12","13"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-21","48","13","37"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-22","63","36","44"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-23","60","44","47"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-24","47","27","27"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-25","38","27","36"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-26","36","25","25"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-27","38","25","25"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-02-28","48","25","28"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-01","41","28","33"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-02","59","33","35"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-04","34","13","15"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-05","42","15","34"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-06","70","34","59"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-07","68","52","52"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-08","59","35","35"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-09","38","31","35"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-10","42","28","28"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-11","49","26","27"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-12","60","25","25"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-13","26","11","11"
"USC00360022","ACMETONIA LOCK 3, PA US","2022-03-14","39","11","23"
